formula,activity,shape,"length, nm","width, nm","depth, nm",pol,surf,"Km, mM","Vmax, mM/s",ReactionType,"C min, mM","C max, mM","C(const), mM",Ccat(mg/mL),ph,"temp, °C",Zpotential,"SurfaceArea, m^2/g ",id
PMNT-2,peroxidase,nanocomposite,100.0,100.0,100.0,,,0.206,0.0001037,TMB+H2O2,0.04,0.12,0.1,0.6,3.5,40.0,,,17603
PMNT-2,peroxidase,nanocomposite,100.0,100.0,100.0,,,0.021,7.43e-05,H2O2+TMB,0.03,0.1,0.04,0.6,3.5,40.0,,,17604
PEI-rGO-Hemin-BSA,peroxidase,sheet,,,,poly(ethylene imine),,1.8,8.451e-05,TMB+H2O2,0.03,1.0,2.5,2.0,6.0,37.0,33.6,,17605
PEI-rGO-Hemin-BSA,peroxidase,sheet,,,,poly(ethylene imine),,2.13,2.339e-05,H2O2+TMB,0.03,1.0,0.45,2.0,6.0,37.0,33.6,,17606
,glutathione peroxidase,,,,,,,,,GSH+H2O2,0.1,1.0,0.07,,8.0,37.0,,,17607
,glutathione peroxidase,,,,,,,,,H2O2+GSH,0.1,1.0,0.07,,8.0,37.0,,,17608
,glutathione reductase,,,,,,,,,GSSG+NADPH,0.5,0.5,0.2,,8.0,37.0,,,17609
,,,,,,,,,,,,,,,,,,,17610
,peroxidase,,,,,,Tween 20,,,H2O2+O-methoxyphenol,,,1.0,,6.0,,,,17611
,glutathione peroxidase,,,,,,,0.055,,t-butylhydroperoxide + GSH,,,4.0,,8.5,37.0,,,17612
,glutathione peroxidase,,,,,,,2.3,,GSH + t-butylhydroperoxide,,,0.7,,8.5,37.0,,,17613
,,,,,,,,,,H2O2+TMB,,,,,,37.0,,,17614
,,,,,,,,,,H2O2+TMB,,,,,,37.0,,,17615
,,,,,,,,,,H2O2+TMB,,,,,,37.0,,,17616
,,,,,,,,,,H2O2+TMB,,,,,,37.0,,,17617
TiO2,peroxidase,,,,,,,47.0,,pyrogallol+H2O2,10.0,70.0,30.0,,6,,,,17618
,catalase,,,,,,,,,H2O2,,,,,,30.0,,,17619
,catalase,,,,,,,,,H2O2,,,,,,30.0,,,17620
CuO,peroxidase,spherical,6.3,6.3,6.3,,,0.016,,TMB+H2O2,,,1500.0,4.0,4.0,37.0,,,17621
CuO,peroxidase,spherical,6.3,6.3,6.3,,,41.0,,H2O2+TMB,,,665.0,4.0,4.0,37.0,,,17622
,peroxidase,,,,,,,,,H2O2+coniferyl alcohol,0.1,,2.5,,6.5,30.0,,,17623
,oxidase,,,,,,,,,NADH+p-coumaric acid,0.2,,0.25,,5.5,30.0,,,17624
HCO4-,peroxidase,,,,,,,,,H2O2 + HCO3-,,,260.0,,8.4,,,,17625
HCO4-,peroxidase,,,,,,,,,H2O2 + HCO3-,,,130.0,,8.4,,,,17626
,peroxidase,,,,,,,,,H2O2+TMB,,,,,7.0,25.0,,,17627
CuZn-SOD,peroxidase,,,,,,,0.5,0.001,H2O2+TMB,0.01,1.0,300.0,,7.4,25.0,,,17628
CuZn-SOD,peroxidase,,,,,,,0.5,0.001,TMB+H2O2,0.01,1.0,300.0,,7.4,25.0,,,17629
,glutathione peroxidase,,,,,,,,,GSH + H2O2,,,1.0,,7.4,25.0,,,17630
,glutathione peroxidase,,,,,,,,,GSH + H2O2,,,,,,37.0,,,17631
C34H32ClFeN4O4,peroxidase,spherical,65.0,65.0,65.0,poly(ethylene glycol),,0.11,0.0002728,H2O2+TMB,0.25,5.0,5.0,0.2,7.4,25.0,,,17632
C34H32ClFeN4O4,peroxidase,spherical,65.0,65.0,65.0,poly(ethylene glycol),,1.37,0.0017396,H2O2+TMB,0.25,5.0,5.0,0.2,7.4,25.0,,,17633
,glutathione peroxidase,,,,,,,,,,,,,,,,,,17634
CuC19H14N4O2,peroxidase,dodecahedral,,,,Poly(N-Vinylpyrrolidone),,0.169,2.19e-05,H2O2+TMB,1.0,10.0,0.5,0.042,4,25.0,,,17635
CuC19H14N4O2,peroxidase,dodecahedral,,,,Poly(N-Vinylpyrrolidone),,28.6,3.16e-05,TMB+H2O2,0.1,0.5,10.0,0.042,4,25.0,,,17636
,glutathione peroxidase,,,,,,,,,,,,,,,,,,17637
Fe3O4,peroxidase,spherical,7.0,7.0,7.0,,,0.71,5.31e-05,H2O2+TMB,1.0,50.0,640.0,80.0,4.0,40.0,,,17638
Fe3O4,peroxidase,spherical,7.0,7.0,7.0,,,0.43,0.0001308,TMB+H2O2,0.01,0.1,5.0,80.0,4.0,40.0,,,17639
MnO2,superoxide dismutase,cage,,,55.0,,,19.31,1.021e-05,H2O2,,,10.0,0.064,7.4,25.0,,,17640
MoS2,peroxidase,sheet,100.0,100.0,100.0,,,3.74,1.28e-05,TMB+H2O2,0.05,0.5,2.0,50.0,4,25.0,,,17641
MoS2,peroxidase,sheet,100.0,100.0,100.0,,,7.36,6.4000000000000006e-06,H2O2+TMB,0.8,2.0,0.5,50.0,4,25.0,,,17642
hemin/MoS2,peroxidase,sheet,100.0,100.0,100.0,,,0.119,6.52e-05,TMB+H2O2,0.05,0.5,2.0,20.0,4,25.0,,,17643
hemin/MoS2,peroxidase,sheet,100.0,100.0,100.0,,,0.15,3.21e-05,H2O2+TMB,0.8,2.0,0.5,20.0,4,25.0,,,17644
,,,,,,,,,,,,,,,,,,,17645
RGO.npr.NH2/GA@HRP,peroxidase,spherical,60.0,60.0,60.0,poly(ethylene glycol),,0.22,,H2O2+TMB,,,,,7.0,25.0,-11.0,,17646
RGO.npr.NH2/GA@HRP,peroxidase,spherical,86.0,86.0,86.0,poly(ethylene glycol),,0.27,,TMB+H2O2,,,,,7.0,25.0,,,17647
CDs,peroxidase,spherical,6.5,6.5,6.5,,,,,,,,,,,,,,17648
,,,,,,,,,,,,,,,,,,,17649
,glutathione peroxidase,,,,,,Triton X-100,,,H2O2+GSH,,,,,7.4,25.0,,,17650
,glutathione peroxidase,,,,,,Triton X-100,,,H2O2+GSH,,,,,7.4,25.0,,,17651
,glutathione peroxidase,,,,,,Triton X-100,,,H2O2+GSH,,,,,7.4,25.0,,,17652
,glutathione peroxidase,,,,,,Triton X-100,,,H2O2+GSH,,,,,7.4,25.0,,,17653
,peroxidase,,,,,,,15.4,,H2O2+NADH,,,0.15,,7.5,25.0,,,17654
AHb3,peroxidase,,,,,,,,,H2O2+TMB,,,0.001,,,22.0,,,17655
AHb3,peroxidase,,,,,,,,,TMB+H2O2,,,0.05,,,22.0,,,17656
Pd,peroxidase,spherical,57.0,57.0,57.0,,,0.05,0.0001,TMB+H2O2,6.25e-05,0.1,20.0,,5,22.0,,,17657
Pd,peroxidase,spherical,57.0,57.0,57.0,,,0.05,0.0001,H2O2+TMB,6.25e-05,0.1,0.525,,5,22.0,,,17658
Fe4[Fe(CN)6]3,peroxidase,cubic,100.0,100.0,100.0,Poly(N-Vinylpyrrolidone),,0.08,0.002,TMB+H2O2,0.01,0.5,1500.0,0.05,4.0,37.0,,,17659
Fe4[Fe(CN)6]3,peroxidase,cubic,100.0,100.0,100.0,Poly(N-Vinylpyrrolidone),,0.08,0.002,H2O2+TMB,1.0,15.0,0.5,0.05,4.0,37.0,,,17660
HRP,peroxidase,,,,,,,0.85,,H2O2+TMB,0.5,1.7,0.27,,5.5,28.0,,,17661
HRP,peroxidase,,,,,,,0.85,,TMB+H2O2,0.5,1.7,0.27,,5.5,28.0,,,17662
HRP,peroxidase,,,,,,,0.85,,H2O2+TMB,0.5,1.7,0.27,,6,28.0,,,17663
HRP,peroxidase,,,,,,,0.85,,TMB+H2O2,0.5,1.7,0.27,,6,28.0,,,17664
,glutathione peroxidase,,,,,,,,,GSH + H2O2,,,2.2,,7.0,25.0,,,17665
CQDs,peroxidase,spherical,3.3,3.3,3.3,,,,,TMB+H2O2,1.0,105.0,40.0,500.0,3.5,35.0,,,17666
Hemin-doped-HKUST-1,peroxidase,irregular,100.0,100.0,100.0,,,,,,,,,,6.0,80.0,,,17667
Cu(II)-LPQDs,peroxidase,spherical,10.0,10.0,10.0,,,0.191,0.0053166666666666,TMB+H2O2,0.02,1.0,20.0,0.8,7.0,,-18.5,,17668
Cu(II)-LPQDs,peroxidase,spherical,10.0,10.0,10.0,,,0.191,0.0053166666666666,H2O2+TMB,1e-06,100.0,20.0,0.8,7.0,25.0,-18.5,,17669
H2TCPP-TiO2-MMT,peroxidase,spherical,25.0,25.0,25.0,,,0.357,3.240000000000001e-05,H2O2+TMB,10.0,1000.0,250.0,0.3,4.0,35.0,,,17670
H2TCPP-TiO2-MMT,peroxidase,spherical,25.0,25.0,25.0,,,0.0289,0.0013425999999999,TMB+H2O2,0.1,1.0,250.0,0.3,4.0,35.0,,,17671
CuS,peroxidase,nanostructure,,,,,,0.1,0.001,ABTS+H2O2,0.0,5.0,50.0,0.05,,25.0,,,17672
CuS,peroxidase,nanostructure,,,,,,0.1,0.001,H2O2+ABTS,0.0,50.0,5.0,0.05,,25.0,,,17673
CuS,peroxidase,nanostructure,,,,,,0.1,0.001,ABTS+H2O2,0.0,5.0,50.0,0.05,,50.0,,,17674
CuS,peroxidase,nanostructure,,,,,,0.1,0.001,H2O2+ABTS,0.0,50.0,5.0,0.05,,50.0,,,17675
CuS,oxidase,nanostructure,,,,,,0.1,0.001,AA,0.0,0.25,,0.05,,25.0,,,17676
,peroxidase,,,,,,,0.00096,,H2O2+TMB,,,,,7.6,30.0,,,17677
,peroxidase,,,,,,,,,TMB+H2O2,,,,,7.6,30.0,,,17678
,peroxidase,,,,,Poly(N-Vinylpyrrolidone),,,,TMB+H2O2,,,,,7.5,25.0,,,17679
,peroxidase,,,,,Poly(N-Vinylpyrrolidone),,,,H2O2+TMB,,,,,7.5,25.0,,,17680
Hemin-GDY,peroxidase,sheet,,,,,,0.25,0.0003727,TMB + H2O2,0.15,,35.0,0.015,4.0,25.0,,,17681
Hemin-GDY,peroxidase,sheet,,,,,,0.27,0.0001102,H2O2 + TMB,35.0,,0.15,0.015,4.0,25.0,,,17682
CoFe-LDH/CeO2,peroxidase,tubular,,,,,,0.419,,TMB+H2O2,1.0,10.0,5.0,1.0,5.0,25.0,,35.7,17683
CoFe-LDH/CeO2,peroxidase,tubular,,,,,,10.82,,H2O2+TMB,5.0,50.0,8.0,1.0,5.0,25.0,,35.7,17684
Gr/Ni@Pd,peroxidase,nanostructure,4.0,4.0,4.0,,,,,TMB+H2O2,0.0,1.3,0.5,0.02,4.0,25.0,,,17685
Gr/Ni@Pd,peroxidase,nanostructure,4.0,4.0,4.0,,,,,H2O2+TMB,0.0,0.5,1.3,0.02,4.0,25.0,,,17686
HRP,peroxidase,,,,,,,,,ABTS + H2O2,,,26.200000000000003,,5,25.0,,,17687
,catalase,,,,,,,,,H2O2,,,,,,20.0,,,17688
,glutathione peroxidase,,,,,,,,,t-butyl hydroperoxide + GSH,,,,,,20.0,,,17689
,glutathione reductase,,,,,,,,,,,,,,,20.0,,,17690
Fe3O4-DOPA,peroxidase,spherical,3.5,3.5,3.5,,,2.75,1.42e-05,H2O2+ABTS,,,3.65,0.02,4.6,25.0,40.0,,17691
CoFe2O4-DOPA,peroxidase,spherical,2.2,2.2,2.2,,,5.21,0.000239,H2O2+ABTS,,,3.65,0.02,4.6,25.0,39.5,,17692
CuFe2O4-DOPA,peroxidase,spherical,2.3,2.3,2.3,,,1.18,8.230000000000001e-05,H2O2+ABTS,,,3.65,0.02,4.6,25.0,37.8,,17693
MnFe2O4-DOPA,peroxidase,spherical,2.7,2.7,2.7,,,0.34,0.0001192,H2O2+ABTS,,,3.65,0.02,4.6,25.0,38.6,,17694
NiFe2O4-DOPA,peroxidase,spherical,2.6,2.6,2.6,,,0.34,3.96e-05,H2O2+ABTS,,,3.65,0.02,4.6,25.0,44.2,,17695
Fe3O4,peroxidase,spherical,30.0,30.0,30.0,,,0.098,3.44e-05,TMB+H2O2,,,530.0,,3.5,40.0,,,17696
Fe3O4,peroxidase,spherical,30.0,30.0,30.0,,,154.0,9.78e-05,H2O2+TMB,,,0.8160000000000001,,3.5,40.0,,,17697
Ce(IV),oxidase,,,,,,,0.00823,,ABTS+H2O2,0.0,200.0,0.2,,4,25.0,,,17698
Ce(IV),oxidase,,,,,,,0.00339,,H2O2+ABTS,0.0,200.0,0.2,,4,25.0,,,17699
,glutathione s-transferase,,,,,,,,,CDNB,,,,,7.4,4.0,,,17700
,glutathione s-transferase,,,,,,,,,EA,,,,,7.4,4.0,,,17701
,glutathione s-transferase,,,,,,,,,CuOOH,,,,,7.4,4.0,,,17702
,glutathione peroxidase,,,,,,,,,H2O2,,,,,7.4,4.0,,,17703
CuS,peroxidase,spherical,200.0,200.0,200.0,Poly(N-Vinylpyrrolidone),,,,TMB+H2O2,0.05,0.5,25.0,0.3,3.6,40.0,,,17704
CuS,peroxidase,spherical,200.0,200.0,200.0,Poly(N-Vinylpyrrolidone),,,,H2O2+TMB,20.0,25.0,0.25,0.3,3.6,40.0,,,17705
,,,,,,,,,,,,,,,,,,,17706
,,,,,,,,,,,,,,,,,,,17707
,glutathione peroxidase,,,,,,,0.55,,eumene hydroperoxide + glutathione,0.3,2.8,6.0,,,25.0,,,17708
,glutathione peroxidase,,,,,,,2.32,,f-butyl hydroperoxide + glutathione,,,1.2,,,25.0,,,17709
,glutathione peroxidase,,,,,,,0.47,,eumene hydroperoxide + glutathione,,,1.2,,,25.0,,,17710
,peroxidase,,,,,,,0.0078,,H2O2 + t-butyl hydroperoxide,,,,,7.4,37.0,,,17711
,peroxidase,,,,,,,0.06,,t-butyl hydroperoxide + H2O2,,,,,7.4,37.0,,,17712
,peroxidase,,,,,,,0.11,,o-dianisidine + H2O2,,,,,5.5,,,,17713
,peroxidase,,,,,,,2.7,,guaiacol + H2O2,,,,,6.5,,,,17714
,peroxidase,,,,,,,0.2,,ascorbate + H2O2,,,,,8.0,,,,17715
,peroxidase,,,,,,,0.055,,ferulic acid + H2O2,,,,,5.0,,,,17716
,peroxidase,,,,,,,0.28,,ABTS + H2O2,,,,,4.0,,,,17717
PS2.M-hemin,peroxidase,,,,,,Triton X-100,1.0,0.001,H2O2+TMB,0.2,1.0,1.0,,6.2,20.0,,,17718
PS2.M-hemin,peroxidase,,,,,,Triton X-100,1.0,0.001,TMB+H2O2,0.2,1.0,1.0,,6.2,20.0,,,17719
HbCO,peroxidase,,,,,,,,,GSH+H2O2,,,0.3,,7.4,25.0,,,17720
CNMetHb,peroxidase,,,,,,,,,GSH+H2O2,,,0.3,,7.4,25.0,,,17721
,peroxidase,,,,,,,,,,,,,,,27.5,,,17722
,,,,,,,,,,,,,,,,,,,17723
,glutathione peroxidase,,,,,,,,,GSH + H2O2,,,0.2,,7.6,25.0,,,17724
,glutathione peroxidase,,,,,,,,,H2O2 + GSH,,,1.0,,7.6,25.0,,,17725
,thioredoxin reductase,,,,,,,,,DTNB,,,,,,25.0,,,17726
,thioredoxin,,,,,,,,,insulin,,,,,7.6,37.0,,,17727
,antioxidant,,,,,,,,,ABTS + H2O2,,,,,,,,,17728
,,,,,,,,,,,,,,,,,,,17729
PtCu,peroxidase,nanocluster,47.2,47.2,47.2,Poly(N-Vinylpyrrolidone),Ascorbic acid,0.033,0.0007555,TMB+H2O2,0.0,0.5,60.0,,4.0,20.0,,,17730
PtCu,peroxidase,nanocluster,47.2,47.2,47.2,Poly(N-Vinylpyrrolidone),Ascorbic acid,0.033,0.0002678,H2O2+TMB,0.0,160.0,0.15,,4.0,20.0,,,17731
PtCu,catalase,nanocluster,47.2,47.2,47.2,Poly(N-Vinylpyrrolidone),Ascorbic acid,9.94,0.02616,H2O2,0.0,10.0,,,7.4,25.0,,,17732
CuZnSOD,peroxidase,,,,,,,,,ABTS+H2O2,,,,,7.4,37.0,,,17733
CuZnSOD,peroxidase,,,,,,,,,H2O2+Hypotaurine,,,,,7.4,37.0,,,17734
CuZnSOD,peroxidase,,,,,,,,,H2O2+Cysteine sulfinic acid,,,,,7.4,37.0,,,17735
CuZnSOD,peroxidase,,,,,,,,,H2O2+Hypotaurine,,,,,7.4,37.0,,,17736
CuZnSOD,peroxidase,,,,,,,,,H2O2+Cysteine sulfinic acid,,,,,7.4,37.0,,,17737
MOF-Au-Ce,dnase,,,,,,,,,BNPP,,,,0.16,8.0,25.0,,,17738
MOF-Au-Ce,dnase,,,,,,,,,BNPP,,,,0.5,5.5,37.0,,,17739
MOF-2.5Au,peroxidase,,,,,,,0.876,0.000206,H2O2+TMB,,,0.8,0.05,4.0,37.0,,,17740
PGP,peroxidase,,,,,Calcium alginate-pectin,,0.07,0.3566666666666666,o-dianisidine HCl+H2O2,0.002,1.2,18.0,,5.6,37.0,,,17741
PGP–Con A,peroxidase,,,,,Calcium alginate-pectin,,0.08,0.2616666666666666,o-dianisidine HCl+H2O2,0.002,1.2,18.0,,5.6,37.0,,,17742
,glutathione peroxidase,,,,,,,,,,,,,,,,,,17743
,peroxidase,,,,,,,,,guaiacol + H2O2,,8.0,2.0,,6.1,20.0,,,17744
DvNgr,peroxidase,,,,,,,,,H2O2+TMB,,,,,7.3,37.0,,,17745
PMNT,peroxidase,,,,,PMNT,,,,TMB+H2O2,,,10.0,,3.5,35.0,,,17746
PMNT,peroxidase,,,,,PMNT,,,,H2O2+TMB,,,5.0,,3.5,35.0,,,17747
,peroxidase,,,,,,,,,H2O2+TMB,,,13.0,,7.0,30.0,,,17748
,peroxidase,,,,,,,,,IAA+Mn2+,,,1.0,,4.7,30.0,,,17749
,peroxidase,,,,,,,,,IAA,,,,,4.5-6.0,30.0,,,17750
Co@NCNTs/NC,oxidase,sheet,19.5,19.5,19.5,,,0.12,5.9e-05,TMB,0.025,0.25,,0.4,4.0,30.0,,526.9,17751
SNC,peroxidase,spherical,18.0,18.0,18.0,,,1.2,0.00142,H2O2+TMB,0.1,5.0,100.0,1.0,3.0,37.0,,524.1,17752
SNC,peroxidase,spherical,18.0,18.0,18.0,,,1.2,0.00142,TMB+H2O2,0.1,5.0,100.0,1.0,3.0,37.0,,524.1,17753
Pt,peroxidase,spherical,3.29,3.29,3.29,,,,,OPD + H2O2,,,,,,4.0,,,17754
Pu39WT,peroxidase,,,,,,,,,,,,,,,,,,17755
,superoxide dismutase,,,,,,,,,,,,,,7.6,30.0,,,17756
,peroxidase,,,,,,,,,,,,,,,,,,17757
,peroxidase,,,,,,,,,,,,,,,,,,17758
C,peroxidase,flakes,,,,,,,,hydroquinone + H2O2,1.0,1.0,10.0,0.5,7.4,25.0,,,17759
Na2SeO3,glutathione peroxidase,,,,,,,,,H2O2,,,106.6,,,21.0,,,17760
DL-selenomethionine,glutathione peroxidase,,,,,,,,,H2O2,,,106.6,,,21.0,,,17761
"6A,6B-diseleninic acid-6A*,6B*-selenium bridged b-cyclodextrin",glutathione peroxidase,,,,,,,0.243,,H2O2+GSH,0.5,2.0,1.0,,7.0,37.0,,,17762
"6A,6B-diseleninic acid-6A*,6B*-selenium bridged b-cyclodextrin",glutathione peroxidase,,,,,,,0.243,,GSH+H2O2,1.0,3.0,0.5,,7.0,37.0,,,17763
NaHSeO3,glutathione peroxidase,,,,,,,,,H2O2+GSH,,,1.0,,,26.0,,,17764
NaHSeO3,glutathione peroxidase,,,,,,,,,GSH+H2O2,,,1.0,,,26.0,,,17765
Fe,peroxidase,,83.95,83.95,83.95,,,,,ABTS + H2O2,,,0.5,0.2,7.5,25.0,4.5,,17766
CeO2,peroxidase,tubular,121.0,14.0,,poly(allylamine hydrochloride),,0.78,0.019,TMB+H2O2,,,50.0,1.0,4,25.0,,,17767
CeO2,peroxidase,tubular,121.0,14.0,,poly(allylamine hydrochloride),,176.3444,0.04,H2O2+TMB,,,0.8,1.0,4,25.0,,,17768
Fe3O4,peroxidase,spherical,20.0,20.0,20.0,,,0.12,0.05,TMB+H2O2,0.01,0.5,1.0,0.1,7,25.0,,,17769
Fe3O4,peroxidase,spherical,20.0,20.0,20.0,,,0.15,0.06,H2O2+TMB,0.01,0.5,1.0,0.1,7,25.0,,,17770
Cyt c-550,peroxidase,,,,,,,1000.0,,H2O2+TMB,15.0,30.0,100.0,,8.0,25.0,,,17771
Cyt c-550,peroxidase,,,,,,,1000.0,,TMB+H2O2,15.0,30.0,100.0,,8.0,25.0,,,17772
,peroxidase,,,,,,,,,TMB+H2O2,,,,,,25.0,,,17773
,catalase,,,,,,,,,H2O2,,,,,,25.0,,,17774
Fe-MIL-88B-NH2,peroxidase,spindle,200.0,,,,,2.6000000000000005,5.6e-05,TMB+H2O2,0.1,1.0,100.0,1.0,4.0,37.0,,,17775
Fe-MIL-88B-NH2,peroxidase,spindle,200.0,,,,,1.3000000000000005,2.5e-05,H2O2+TMB,1000.0,,1.0,1.0,4.0,25.0,,,17776
MnP,peroxidase,,,,,,,,,H2O2+TMB,,,400.0,,4.5,37.0,,,17777
MnP,peroxidase,,,,,,,,,TMB+H2O2,,,100.0,,4.5,37.0,,,17778
,peroxidase,,,,,,,,,H2O2+TMB,,,18.0,,7.5,23.0,,,17779
H2O2,peroxidase,,,,,,,0.03,0.0001,H2O2,0.01,0.1,,,7.0,37.0,,,17780
H2O2,peroxidase,,,,,,,0.03,0.0001,H2O2,0.01,0.1,,,7.0,37.0,,,17781
,superoxide dismutase,,,,,,,,,TMB+H2O2,,,,,,,,,17782
,superoxide dismutase,,,,,,,,,H2O2+TMB,,,,,,,,,17783
,glutathione peroxidase,,,,,,,,,TMB+H2O2,,,,,,,,,17784
,glutathione peroxidase,,,,,,,,,H2O2+TMB,,,,,,,,,17785
,peroxidase,,,,,,,,,H2O2+TMB,,,,,7.2,5.0,,,17786
,peroxidase,,,,,,,,,TMB+H2O2,,,,,7.2,5.0,,,17787
Fe3O4,peroxidase,spherical,10.0,10.0,10.0,,,,,,,,,,,,,118.0,17788
Fe3O4,peroxidase,spherical,10.0,10.0,10.0,,,,,H2O2+TMB,,,0.08,2.0,5.5,28.0,26.0,67.0,17789
Fe3O4,peroxidase,spherical,10.0,10.0,10.0,,,,,H2O2+TMB,,,0.08,2.0,5.5,28.0,38.4,31.0,17790
Fe3O4,peroxidase,spherical,10.0,10.0,10.0,,,,,H2O2+TMB,,,0.08,2.0,5.5,28.0,43.2,67.0,17791
Fe4[Fe(CN)6]3,peroxidase,spherical,68.0,68.0,68.0,Poly(N-Vinylpyrrolidone),,,,TMB+H2O2,,,,,,37.0,-31.1,,17792
Fe4[Fe(CN)6]3,peroxidase,spherical,68.0,68.0,68.0,Poly(N-Vinylpyrrolidone),,,,H2O2+TMB,,,,,,37.0,-31.1,,17793
,superoxide dismutase,,,,,,,,,,,,,,,,,,17794
,glutathione peroxidase,,,,,,,,,,,,,,,,,,17795
Sm-TCPP-Pt,catalase,spherical,100.0,100.0,100.0,Poly(N-Vinylpyrrolidone),,10.0,0.01,H2O2,1.57,25.0,,,7.4,25.0,-15.6,,17796
Sm-TCPP-Pt,catalase,spherical,100.0,100.0,100.0,Poly(N-Vinylpyrrolidone),,10.0,0.01,H2O2,1.57,25.0,,,6.5,25.0,-15.6,,17797
,aldehyde dehydrogenase,,,,,,,,,propionaldehyde + NAD+,,,1.0,,8.5,,,,17798
,aldehyde dehydrogenase,,,,,,,,,hexanal + NAD+,,,1.5,,8.5,,,,17799
,glutathione s-transferase,,,,,,,,,trans-2-nonenal + GSH,,,0.5,,6.5,,,,17800
,reductase,,,,,,,,,glyceraldehyde + NADPH,,,0.03,,7.0,,,,17801
,glutathione peroxidase,,,,,,,,,cumene hydroperoxide + GSH,,,1.0,,7.0,,,,17802
Fe3+P,peroxidase,,,,,,,,,H2O2+TMB,0.1,1.0,1.0,,5-10,25.0,,,17803
Fe3+P,peroxidase,,,,,,,,,H2O2+TMB,0.1,1.0,1.0,,10.0,25.0,,,17804
Fe3+P,peroxidase,,,,,,,,,H2O2+TMB,0.1,1.0,1.0,,10.0,25.0,,,17805
Fe3+P,peroxidase,,,,,,,,,H2O2+TMB,0.1,1.0,1.0,,10.0,25.0,,,17806
Fe3+P,peroxidase,,,,,,,,,H2O2+TMB,0.1,1.0,1.0,,10.0,25.0,,,17807
Fe3+P,peroxidase,,,,,,,,,H2O2+TMB,0.1,1.0,1.0,,10.0,25.0,,,17808
Fe3+P,peroxidase,,,,,,,,,H2O2+TMB,0.1,1.0,1.0,,6.7,25.0,,,17809
cytc550,peroxidase,,,,,,Sodium dodecyl sulfate,,,H2O2+TMB,0.3,40.0,10.0,,8,,,,17810
cytc550,peroxidase,,,,,,Sodium dodecyl sulfate,,,TMB+H2O2,0.3,40.0,10.0,,8,,,,17811
cytc550,peroxidase,,,,,,Cetyltrimethylammonium bromide,,,H2O2+TMB,0.6,30.0,10.0,,8,,,,17812
cytc550,peroxidase,,,,,,Cetyltrimethylammonium bromide,,,TMB+H2O2,0.6,30.0,10.0,,8,,,,17813
cytc550,peroxidase,,,,,,Dodecyltrimethylammonium bromide,,,H2O2+TMB,0.3,30.0,10.0,,8,,,,17814
cytc550,peroxidase,,,,,,Dodecyltrimethylammonium bromide,,,TMB+H2O2,0.3,30.0,10.0,,8,,,,17815
cytc550,peroxidase,,,,,,Tetradecyltrimethylammonium bromide,,,H2O2+TMB,0.6,30.0,10.0,,8,,,,17816
cytc550,peroxidase,,,,,,Tetradecyltrimethylammonium bromide,,,TMB+H2O2,0.6,30.0,10.0,,8,,,,17817
Cu2O,peroxidase,spherical,200.0,200.0,200.0,,,0.128,1.1100000000000002e-05,TMB+H2O2,0.01,5.0,5.0,,4.0,40.0,-17.6,22.16,17818
Cu2O,peroxidase,spherical,200.0,200.0,200.0,,,0.729,2.68e-05,H2O2+TMB,0.01,5.0,5.0,,4.0,40.0,-17.6,22.16,17819
,peroxidase,,,,,,,,,H2O2+DAB,,,6.0,,3-11,4.0,,,17820
,peroxidase,,,,,,,,,H2O2+guaiacol,,,6.0,,3-11,4.0,,,17821
MoS2,peroxidase,sheet,,,,,,,,TMB+H2O2,0.0004,0.004,,,3.0,25.0,,,17822
H39Q Cyt b5,hydrolase,,,,,,,2.64,,4NPA,,,,,,,,,17823
H39S Cyt b5,hydrolase,,,,,,,3.51,,4NPA,,,,,,,,,17824
C13H9NOSe,glutathione peroxidase,,,,,,,0.001,0.001,H2O2+TMB,0.001,1.0,1.0,,7.4,37.0,,,17825
C13H9NOSe,glutathione peroxidase,,,,,,,0.001,0.001,TMB+H2O2,0.001,1.0,1.0,,7.4,37.0,,,17826
Fe-MOF,peroxidase,spherical,,,,,,0.3698,6.769999999999999e-05,TMB+H2O2,,,,,3.0,37.0,11.88,,17827
,,,,,,,,,,,,,,,,,,,17828
MLT-7,peroxidase,,,,,,,,,TMB + H2O2,,,,,,25.0,,,17829
,peroxidase,,,,,,,0.1,,H2O2+TMB,0.05,0.5,,,7.6,20.0,,,17830
,peroxidase,,,,,,,0.088,,TMB+H2O2,,,,,7.6,20.0,,,17831
MnTBAP,superoxide dismutase,,,,,,,,,H2O2+TMB,,,0.2,,,,,,17832
MnTBAP,superoxide dismutase,,,,,,,,,TMB+H2O2,,,0.2,,,,,,17833
FeTPPCl,peroxidase,,,,,,,,,H2O2+TMB,,,50.0,,,,,,17834
FeTPPCl,peroxidase,,,,,,,10.0,,TMB+H2O2,,,50.0,,,,,,17835
,peroxidase,,,,,,,,,OPD + H2O2,,,25.0,,,37.0,,,17836
,,,,,,,,,,,,,,,,,,,17837
,peroxidase,,,,,,,,,,,,,,5.0,,,,17838
"Fe(III) 5,10,15-tris(4-N-methylpyridiniumyl)-20-(4-phenyl(3-O-amidoxymethylestradiol)) porphyrin",peroxidase,,,,,,,1.2,0.0446666666666666,H2O2+ABTS,0.084,1.7,0.5,,4.4,22.5,,,17839
